Year,Suicide Deaths per 100000
1900,10.2
1901,10.4
1902,10.3
1903,11.3
1904,12.2
1905,13.5
1906,12.8
1907,14.5
1908,16.3
1909,16
1910,15.3
1911,16
1912,15.6
1913,15.4
1914,16.1
1915,16.2
1916,13.7
1917,13
1918,12.3
1919,11.5
1920,10.2
1921,12.4
1922,11.7
1923,11.5
1924,11.9
1925,12
1926,12.6
1927,13.2
1928,13.5
1929,13.9
1930,15.6
1931,16.8
1932,17.4
1933,15.9
1934,14.9
1935,14.8
1936,14.8
1937,15
1938,15.3
1939,14.1
1940,14.4
1941,12.8
1942,12
1943,10.2
1944,10
1945,11.2
1946,11.5
1947,11.5
1948,11.2
1949,11.4
1950,11.4
1951,10.4
1952,10
1953,10.1
1954,10.1
1955,10.2
1956,10
1957,10.3
1958,10.9
1959,11.4

